"description","itemid","itemparent"
"Operaciones ERP","FX1-00-00-000",NULL
"Catálogos","FX1-10-00-000","FX1-00-00-000"
"Contabilidad y finanzas","FX1-70-00-000","FX1-00-00-000"
"Banco","FX1-10-30-000","FX1-10-00-000"
"Permitir Agregar Banco","FX1-10-30-002","FX1-10-30-000"
"Permitir Modificar Banco","FX1-10-30-003","FX1-10-30-000"
"Permitir Eliminar Banco","FX1-10-30-004","FX1-10-30-000"
"Cuentas de cheque","FX1-72-00-000","FX1-70-00-000"
"Permitir Realizar Retiro","FX1-72-01-000","FX1-72-00-000"
"Permitir Realizar Depósito","FX1-72-03-000","FX1-72-00-000"
"Permitir Realizar Transferencia","FX1-72-04-000","FX1-72-00-000"
